site type swap energy
58 3 1 -1445.35062295
58 3 2 -1446.66419505
58 3 4 -1444.87812931
58 3 5 -1448.60898391
59 3 1 -1445.46067869
59 3 2 -1446.96950727
59 3 4 -1444.94334096
59 3 5 -1448.77470468
60 3 1 -1445.45013314
60 3 2 -1446.89895616
60 3 4 -1445.13698955
60 3 5 -1448.68980281
61 3 1 -1445.31593059
61 3 2 -1446.56822005
61 3 4 -1444.97092384
61 3 5 -1448.55086766
62 3 1 -1445.42243331
62 3 2 -1446.82894875
62 3 4 -1445.04784059
62 3 5 -1448.68336871
63 3 1 -1445.40935990
63 3 2 -1446.84966100
63 3 4 -1445.02597958
63 3 5 -1448.70396867
64 3 1 -1445.35364998
64 3 2 -1446.66969048
64 3 4 -1445.01998782
64 3 5 -1448.57890545
65 3 1 -1445.37265011
65 3 2 -1446.64757530
65 3 4 -1445.08136558
65 3 5 -1448.54255218
66 3 1 -1445.31826253
66 3 2 -1446.49257874
66 3 4 -1445.11202579
66 3 5 -1448.46448024
67 3 1 -1445.42559577
67 3 2 -1446.84247489
67 3 4 -1445.01037523
67 3 5 -1448.69189186
68 3 1 -1445.30426704
68 3 2 -1446.47321644
68 3 4 -1445.06091082
68 3 5 -1448.46293552
69 3 1 -1445.30894593
69 3 2 -1446.44868193
69 3 4 -1445.07028996
69 3 5 -1448.45991328
70 3 1 -1445.35689866
70 3 2 -1446.60562741
70 3 4 -1445.22426748
70 3 5 -1448.50314355
71 3 1 -1445.41229827
71 3 2 -1446.87676700
71 3 4 -1444.94093883
71 3 5 -1448.74828273
72 3 1 -1445.34429401
72 3 2 -1446.65018157
72 3 4 -1445.04510234
72 3 5 -1448.57518170
73 3 1 -1445.30896794
73 3 2 -1446.41694105
73 3 4 -1445.07293973
73 3 5 -1448.42323519
74 3 1 -1445.27298322
74 3 2 -1446.36166847
74 3 4 -1445.02493126
74 3 5 -1448.41164950
75 3 1 -1445.28719823
75 3 2 -1446.42618515
75 3 4 -1445.00068865
75 3 5 -1448.45164390
76 4 1 -1447.97716826
76 4 2 -1449.58604215
76 4 3 -1449.88123835
76 4 5 -1451.35226729
77 4 1 -1447.61571074
77 4 2 -1448.82085836
77 4 3 -1449.65228803
77 4 5 -1450.77474894
78 4 1 -1447.54201011
78 4 2 -1448.61446755
78 4 3 -1449.64129900
78 4 5 -1450.64730855
79 4 1 -1447.59474535
79 4 2 -1448.81581408
79 4 3 -1449.60728639
79 4 5 -1450.75651765
80 4 1 -1447.59547924
80 4 2 -1448.77187971
80 4 3 -1449.62458385
80 4 5 -1450.71135412
81 4 1 -1447.54332935
81 4 2 -1448.70905829
81 4 3 -1449.59608966
81 4 5 -1450.68163650
82 4 1 -1447.85439120
82 4 2 -1449.28311513
82 4 3 -1449.83572310
82 4 5 -1451.17911521
83 4 1 -1447.81040353
83 4 2 -1449.18200280
83 4 3 -1449.78321337
83 4 5 -1451.05673751
84 4 1 -1447.66192594
84 4 2 -1448.90366170
84 4 3 -1449.68390899
84 4 5 -1450.84630119
85 4 1 -1447.64784955
85 4 2 -1448.89334455
85 4 3 -1449.64841317
85 4 5 -1450.81126270
86 4 1 -1447.67283066
86 4 2 -1448.85380502
86 4 3 -1449.73524801
86 4 5 -1450.85420690
87 4 1 -1447.72043801
87 4 2 -1449.00094440
87 4 3 -1449.74654549
87 4 5 -1450.92782392
88 4 1 -1447.58465489
88 4 2 -1448.77305896
88 4 3 -1449.64235348
88 4 5 -1450.75835542
89 4 1 -1447.61090066
89 4 2 -1448.81244205
89 4 3 -1449.63837284
89 4 5 -1450.77807051
90 4 1 -1447.71596014
90 4 2 -1449.08935851
90 4 3 -1449.68575127
90 4 5 -1450.94351681
91 4 1 -1447.74072780
91 4 2 -1449.10045104
91 4 3 -1449.73792060
91 4 5 -1450.97414823
92 4 1 -1447.71344486
92 4 2 -1449.05394192
92 4 3 -1449.70499322
92 4 5 -1450.95294841
93 4 1 -1447.79705680
93 4 2 -1449.22320469
93 4 3 -1449.78507532
93 4 5 -1451.09371909
94 4 1 -1447.57687620
94 4 2 -1448.74543369
94 4 3 -1449.59470258
94 4 5 -1450.67324528
95 4 1 -1447.82852867
95 4 2 -1449.22770833
95 4 3 -1449.76846402
95 4 5 -1451.04494905
96 4 1 -1447.82311432
96 4 2 -1449.26394096
96 4 3 -1449.79258302
96 4 5 -1451.13574669
97 4 1 -1447.73072667
97 4 2 -1449.14333168
97 4 3 -1449.66211429
97 4 5 -1450.95148212
98 4 1 -1447.70184362
98 4 2 -1449.03162418
98 4 3 -1449.69570281
98 4 5 -1450.93727644
99 4 1 -1447.58919308
99 4 2 -1448.71394804
99 4 3 -1449.66739041
99 4 5 -1450.73157804
100 4 1 -1447.79056710
100 4 2 -1449.16798144
100 4 3 -1449.83904505
100 4 5 -1451.11313548
101 5 1 -1444.29813325
101 5 2 -1445.38696118
101 5 3 -1446.36748471
101 5 4 -1444.17320150
102 5 1 -1443.99352534
102 5 2 -1445.53367879
102 5 3 -1445.94436261
102 5 4 -1443.30190007
103 5 1 -1444.22463278
103 5 2 -1445.39087476
103 5 3 -1446.29584343
103 5 4 -1443.95766275
104 5 1 -1444.20635519
104 5 2 -1445.39968034
104 5 3 -1446.25512430
104 5 4 -1443.86441361
105 5 1 -1444.17647135
105 5 2 -1445.35655884
105 5 3 -1446.26875483
105 5 4 -1443.90619266
106 5 1 -1444.22934675
106 5 2 -1445.53596015
106 5 3 -1446.15960405
106 5 4 -1443.89334166
107 5 1 -1444.03620678
107 5 2 -1445.57221652
107 5 3 -1445.97018026
107 5 4 -1443.46770950
108 5 1 -1444.10439259
108 5 2 -1445.47824889
108 5 3 -1446.08155287
108 5 4 -1443.63436587
109 5 1 -1444.08232460
109 5 2 -1445.51453306
109 5 3 -1446.03758555
109 5 4 -1443.57324247
110 5 1 -1444.10784304
110 5 2 -1445.49844871
110 5 3 -1446.08208080
110 5 4 -1443.71595356
111 5 1 -1444.24113005
111 5 2 -1445.43149106
111 5 3 -1446.25921147
111 5 4 -1444.02696922
112 5 1 -1444.23285540
112 5 2 -1445.41917026
112 5 3 -1446.26185880
112 5 4 -1444.01518034
113 5 1 -1444.16397020
113 5 2 -1445.45319914
113 5 3 -1446.15069158
113 5 4 -1443.73438284
114 5 1 -1444.09563845
114 5 2 -1445.53099715
114 5 3 -1446.02762655
114 5 4 -1443.59369318
115 5 1 -1444.22359859
115 5 2 -1445.37905672
115 5 3 -1446.29085532
115 5 4 -1443.97608729
116 5 1 -1444.12786478
116 5 2 -1445.49766681
116 5 3 -1446.11073601
116 5 4 -1443.71703630
117 5 1 -1444.21211272
117 5 2 -1445.51992954
117 5 3 -1446.17640385
117 5 4 -1443.90220189
118 5 1 -1444.16132122
118 5 2 -1445.43781533
118 5 3 -1446.18622072
118 5 4 -1443.82740362
119 5 1 -1444.17235200
119 5 2 -1445.45395601
119 5 3 -1446.20069461
119 5 4 -1443.85850488
120 5 1 -1444.09007396
120 5 2 -1445.47960848
120 5 3 -1446.09257615
120 5 4 -1443.68750219
121 5 1 -1444.16285587
121 5 2 -1445.45867277
121 5 3 -1446.16204168
121 5 4 -1443.83225472
122 5 1 -1444.14239954
122 5 2 -1445.48024387
122 5 3 -1446.13346844
122 5 4 -1443.80518921
123 5 1 -1444.18730262
123 5 2 -1445.46335485
123 5 3 -1446.18163524
123 5 4 -1443.83129169
124 5 1 -1444.13289238
124 5 2 -1445.48699546
124 5 3 -1446.12679246
124 5 4 -1443.74177734
125 5 1 -1444.18711080
125 5 2 -1445.38567366
125 5 3 -1446.25611678
125 5 4 -1443.91966754
