1 1 2 -163.15065549
1 1 3 -162.25175539
1 1 4 -161.03911896
1 1 5 -159.49212990
2 1 2 -163.21198467
2 1 3 -162.40948689
2 1 4 -161.13775790
2 1 5 -159.58889197
3 1 2 -163.28836140
3 1 3 -162.61132799
3 1 4 -161.43992648
3 1 5 -159.90748530
4 1 2 -163.29486896
4 1 3 -162.37893411
4 1 4 -161.19122120
4 1 5 -159.71918914
5 2 1 -164.23922525
5 2 3 -162.96821773
5 2 4 -161.73973972
5 2 5 -160.08926456
6 2 1 -164.12573925
6 2 3 -163.03974439
6 2 4 -161.82847488
6 2 5 -160.13064304
7 2 1 -164.19708183
7 2 3 -162.85781438
7 2 4 -161.71987395
7 2 5 -160.11210315
8 2 1 -164.19534903
8 2 3 -162.99293005
8 2 4 -161.74702574
8 2 5 -160.06838860
9 3 1 -164.92184734
9 3 2 -164.43802594
9 3 4 -162.43684013
9 3 5 -160.89572524
10 3 1 -164.83846639
10 3 2 -164.44221393
10 3 4 -162.47230722
10 3 5 -160.73086226
11 3 1 -164.94798410
11 3 2 -164.52650073
11 3 4 -162.48338253
11 3 5 -161.04231592
12 3 1 -164.99547897
12 3 2 -164.51602550
12 3 4 -162.46180211
12 3 5 -160.80727699
13 4 1 -166.02703230
13 4 2 -165.56373970
13 4 3 -164.91421544
13 4 5 -162.14792747
14 4 1 -166.15949784
14 4 2 -165.75343732
14 4 3 -164.95382318
14 4 5 -162.00865442
15 4 1 -166.11559829
15 4 2 -165.61186141
15 4 3 -164.89039662
15 4 5 -162.10039730
16 4 1 -166.13919416
16 4 2 -165.77190788
16 4 3 -164.92076522
16 4 5 -161.89991903
17 5 1 -167.73205026
17 5 2 -167.32428556
17 5 3 -166.54956048
17 5 4 -165.29760791
18 5 1 -167.81856860
18 5 2 -167.26828090
18 5 3 -166.54470305
18 5 4 -165.25101042
19 5 1 -167.45736854
19 5 2 -167.19578434
19 5 3 -166.54002842
19 5 4 -165.30202762
20 5 1 -167.46533907
20 5 2 -167.09805949
20 5 3 -166.40789616
20 5 4 -165.28147766
