site type swap energy
58 3 1 -1442.18991629
58 3 2 -1443.32541143
58 3 4 -1439.49816101
58 3 5 -1445.27731928
59 3 1 -1442.25207346
59 3 2 -1443.50494413
59 3 4 -1439.53589057
59 3 5 -1445.38007853
60 3 1 -1442.22590986
60 3 2 -1443.45454617
60 3 4 -1439.54788043
60 3 5 -1445.32482909
61 3 1 -1442.12430582
61 3 2 -1443.20239717
61 3 4 -1439.42635346
61 3 5 -1445.21335044
62 3 1 -1442.24855009
62 3 2 -1443.58514040
62 3 4 -1439.51605651
62 3 5 -1445.45556663
63 3 1 -1442.19446790
63 3 2 -1443.43893538
63 3 4 -1439.51576238
63 3 5 -1445.35034466
64 3 1 -1442.13502755
64 3 2 -1443.25793167
64 3 4 -1439.49596881
64 3 5 -1445.23585596
65 3 1 -1442.18330067
65 3 2 -1443.29134935
65 3 4 -1439.59518032
65 3 5 -1445.22506033
66 3 1 -1442.12840567
66 3 2 -1443.14190605
66 3 4 -1439.53335178
66 3 5 -1445.14336579
67 3 1 -1442.20057280
67 3 2 -1443.41356093
67 3 4 -1439.49634414
67 3 5 -1445.33009042
68 3 1 -1442.12240206
68 3 2 -1443.10319149
68 3 4 -1439.51149914
68 3 5 -1445.12148538
69 3 1 -1442.12445518
69 3 2 -1443.14698746
69 3 4 -1439.44379837
69 3 5 -1445.17740232
70 3 1 -1442.16294253
70 3 2 -1443.31697815
70 3 4 -1439.53909689
70 3 5 -1445.26390128
71 3 1 -1442.21602876
71 3 2 -1443.50890108
71 3 4 -1439.48302717
71 3 5 -1445.40771138
72 3 1 -1442.15006690
72 3 2 -1443.25860654
72 3 4 -1439.54774226
72 3 5 -1445.21571581
73 3 1 -1442.12772769
73 3 2 -1443.12363457
73 3 4 -1439.45060062
73 3 5 -1445.14963358
74 3 1 -1442.08727424
74 3 2 -1443.02996842
74 3 4 -1439.42516914
74 3 5 -1445.10379201
75 3 1 -1442.12152501
75 3 2 -1443.11039912
75 3 4 -1439.44230845
75 3 5 -1445.13864537
76 4 1 -1446.53102533
76 4 2 -1447.86270726
76 4 3 -1448.19827466
76 4 5 -1449.73666299
77 4 1 -1446.60548128
77 4 2 -1447.70901249
77 4 3 -1448.34465873
77 4 5 -1449.69061214
78 4 1 -1446.51282870
78 4 2 -1447.43840682
78 4 3 -1448.31178781
78 4 5 -1449.49698859
79 4 1 -1446.64650470
79 4 2 -1447.81249853
79 4 3 -1448.35059211
79 4 5 -1449.76014217
80 4 1 -1446.53609542
80 4 2 -1447.55561435
80 4 3 -1448.28488595
80 4 5 -1449.55246921
81 4 1 -1446.58989574
81 4 2 -1447.64198129
81 4 3 -1448.32473822
81 4 5 -1449.62766615
82 4 1 -1446.66730252
82 4 2 -1447.92798778
82 4 3 -1448.34655029
82 4 5 -1449.85294807
83 4 1 -1446.55226099
83 4 2 -1447.63849213
83 4 3 -1448.26181642
83 4 5 -1449.59403409
84 4 1 -1446.57876482
84 4 2 -1447.72529568
84 4 3 -1448.30108957
84 4 5 -1449.68705691
85 4 1 -1446.54045135
85 4 2 -1447.63434449
85 4 3 -1448.26582243
85 4 5 -1449.60142278
86 4 1 -1446.58028768
86 4 2 -1447.62179846
86 4 3 -1448.32740713
86 4 5 -1449.63079198
87 4 1 -1446.51459075
87 4 2 -1447.58217100
87 4 3 -1448.27485664
87 4 5 -1449.58256800
88 4 1 -1446.62340913
88 4 2 -1447.72996934
88 4 3 -1448.37817822
88 4 5 -1449.73589104
89 4 1 -1446.65760615
89 4 2 -1447.79459504
89 4 3 -1448.38485722
89 4 5 -1449.77724736
90 4 1 -1446.54067727
90 4 2 -1447.74982084
90 4 3 -1448.25365346
90 4 5 -1449.67493193
91 4 1 -1446.49998740
91 4 2 -1447.65506930
91 4 3 -1448.22360627
91 4 5 -1449.59839024
92 4 1 -1446.58217334
92 4 2 -1447.68055432
92 4 3 -1448.31227963
92 4 5 -1449.64637492
93 4 1 -1446.51809442
93 4 2 -1447.77592423
93 4 3 -1448.21171481
93 4 5 -1449.67664973
94 4 1 -1446.54697044
94 4 2 -1447.58618429
94 4 3 -1448.29602988
94 4 5 -1449.57296911
95 4 1 -1446.50311084
95 4 2 -1447.66629342
95 4 3 -1448.21150932
95 4 5 -1449.59130194
96 4 1 -1446.59423927
96 4 2 -1447.80430610
96 4 3 -1448.28760085
96 4 5 -1449.72892880
97 4 1 -1446.50414413
97 4 2 -1447.66964909
97 4 3 -1448.18984874
97 4 5 -1449.55931577
98 4 1 -1446.54955513
98 4 2 -1447.71957280
98 4 3 -1448.24968465
98 4 5 -1449.65629912
99 4 1 -1446.55788695
99 4 2 -1447.61212371
99 4 3 -1448.33100466
99 4 5 -1449.63301602
100 4 1 -1446.55050242
100 4 2 -1447.72697230
100 4 3 -1448.28573629
100 4 5 -1449.68916541
101 5 1 -1440.89920895
101 5 2 -1441.84242681
101 5 3 -1442.70035361
101 5 4 -1438.31523665
102 5 1 -1440.67853025
102 5 2 -1442.01657317
102 5 3 -1442.33558203
102 5 4 -1437.95717443
103 5 1 -1440.92779421
103 5 2 -1441.86511498
103 5 3 -1442.71009052
103 5 4 -1438.33123007
104 5 1 -1440.85181840
104 5 2 -1441.85767655
104 5 3 -1442.61917970
104 5 4 -1438.16227373
105 5 1 -1440.84864681
105 5 2 -1441.85755934
105 5 3 -1442.62646325
105 5 4 -1438.18054789
106 5 1 -1440.78931644
106 5 2 -1441.96450677
106 5 3 -1442.48515540
106 5 4 -1438.07266154
107 5 1 -1440.67405058
107 5 2 -1441.99661173
107 5 3 -1442.35534543
107 5 4 -1437.94529133
108 5 1 -1440.75418417
108 5 2 -1441.94384917
108 5 3 -1442.45675320
108 5 4 -1438.01680185
109 5 1 -1440.76168303
109 5 2 -1441.97810342
109 5 3 -1442.44262429
109 5 4 -1438.08875313
110 5 1 -1440.77286001
110 5 2 -1441.98687429
110 5 3 -1442.43612742
110 5 4 -1438.04409302
111 5 1 -1440.82672786
111 5 2 -1441.88540267
111 5 3 -1442.57919469
111 5 4 -1438.12260664
112 5 1 -1440.86307557
112 5 2 -1441.91043139
112 5 3 -1442.58689918
112 5 4 -1438.14834410
113 5 1 -1440.84100634
113 5 2 -1441.95520289
113 5 3 -1442.51599834
113 5 4 -1438.08975081
114 5 1 -1440.78098437
114 5 2 -1442.00477824
114 5 3 -1442.42719733
114 5 4 -1438.01961153
115 5 1 -1440.85536280
115 5 2 -1441.86168114
115 5 3 -1442.63084652
115 5 4 -1438.19088995
116 5 1 -1440.75879550
116 5 2 -1441.98030306
116 5 3 -1442.44423948
116 5 4 -1438.08113568
117 5 1 -1440.87433383
117 5 2 -1441.94998271
117 5 3 -1442.58979174
117 5 4 -1438.25672562
118 5 1 -1440.79549706
118 5 2 -1441.90863632
118 5 3 -1442.53368491
118 5 4 -1438.08183687
119 5 1 -1440.81153734
119 5 2 -1441.92658899
119 5 3 -1442.54654715
119 5 4 -1438.18180643
