1 -303.14619647
2 -301.98793977
3 -302.30975331
4 -302.39041133
5 -301.84908504
6 -301.85770835
7 -304.84355334
8 -304.22365578
9 -303.93454680
10 -304.19347632
11 -304.02755368
12 -304.84506236
13 -300.56468564
14 -300.33679220
15 -300.49566799
16 -300.30712933
17 -299.70246317
18 -300.70617977
19 -302.55167954
20 -301.01217011
21 -300.89920479
22 -300.69484331
23 -301.34875327
24 -301.74201110
25 -304.89374279
26 -304.57734476
27 -304.06351536
28 -304.73077198
29 -305.00719508
30 -304.91245654
